CITY,STATE,COUNTRY,NUMBER
Vienna,Austria,Austria,4313117272
Oslo,Norway,Norway,4723960720
LAS VEGAS,NV,USA,7024183336
Hackensack,NJ,USA,12017082764
Washington Zone ,DC,USA,12025526649
Norwalk ,CT,USA,12036631873
Danbury ,CT,USA,12037029147
Winnipeg ,MB,USA,12048095081
Birmingham,AL,USA,12053136995
Seattle ,WA,USA,12062044706
Seattle ,WA,USA,12062091041
Portland ,ME,USA,12072094770
Portland ,ME,USA,12072742071
Boise ,ID,USA,12084737120
Idaho Falls ,ID,USA,12085382305
Modesto ,CA,USA,12096221704
Stockton ,CA,USA,12096231272
Merced ,CA,USA,12096261224
San Antonio ,TX,USA,12102452547
Los Angeles,CA,USA,12132322079
Dallas ,TX,USA,12146134104
Dallas Fort Worth Airport,TX,USA,12146995011
Philadelphia Zone 4,PA,USA,12155546804
Cleveland ,OH,USA,12164525300
Baton Rouge ,LA,USA,12253603496
London,ON,CANADA,12262700906
Akron ,OH,USA,12343521515
Laurel ,MD,USA,12404591238
Pontiac,MI,USA,12484095300
Northville ,MI,USA,12488265016
Fairhope ,AL,USA,12512102668
Tacoma ,WA,USA,12532031641
Des Moines ,WA,USA,12533360012
Huntsville ,AL,USA,12563619922
Lansdale ,PA,USA,12673281656
Philadelphia Zone 1,PA,USA,12676666002
Houston ,TX,USA,12814041362
Kemah ,TX,USA,12816031054
Barker ,TX,USA,12818294179
Hamilton ,ON,CANADA,12897993474
Washington Zone 03 ,MD,USA,13018307867
Dover,DE,USA,13027475483
Brighton ,CO,USA,13032192051
Beckley ,WA,USA,13047122101
CLARKSBURG,WV,USA,13047153215
Keys ,FL,USA,13052034131
Saskatoon ,SK,CANADA,13065000184
SASKATOON,SK,CANADA,13065009386
Regina,CA,USA,13069881979
Santa Monica,CA,USA,13104968285
Malibu ,CA,USA,13105893333
Chicago Zone 01,IL,USA,13122168782
Chicago Zone 01,IL,USA,13124651767
Detroit Zone 01 ,MI,USA,13133093654
Saint Louis ,MO,USA,13142695733
Wichita ,KS,USA,13162850207
Indianapolis ,IN,USA,13175156270
Orlando ,FL,USA,13212060693
Cocoa Beach ,FL,USA,13214062068
Los Angeles,CA,USA,13234983005
Greensboro,NC,USA,13364788644
New York City Zone 03,NY,USA,13475181014
New York City Zone 03 ,NY,USA,13475181201
Gainesville,FL,USA,13522246072
Ocala ,FL,USA,13523001205
Belfair,WA,USA,13602057060
Marysville,WA,USA,13605725104
Vancouver ,WA,USA,13605972605
Salt Lake City ,UT,USA,13852291021
Omaha,NE,USA,14024087315
Calgary,AB,CANADA,14037707807
Atlanta ,GA,USA,14043410293
Atlanta ,GA,USA,14044102506
Oklahoma City ,OK,USA,14055518029
Orlando,FL,USA,14073370101
San Jose,CA,USA,14085385696
San Jose,CA,USA,14085993002
Pittsburgh Zone 1,PA,USA,14125664130
Springfield,MA,USA,14135237862
Milwaukee Zone 1,WI,USA,14148475491
Milwaukee Zone 5,WI,USA,14148884004
San Francisco,CA,USA,14152001117
San Rafael ,CA,USA,14153001234
Quebec ,PQ,CANADA,14184782521
Mansfield ,OH,USA,14199822110
San Pedro,CA,USA,14242107483
Culver City ,CA,USA,14246722198
Bellevue ,WA,USA,14252145928
Halls Lake ,WA,USA,14255637422
Charlottesville ,VA,USA,14343274664
Montreal ,PQ,CANADA,14388003613
Brecksville,OH,USA,14405848299
Waterloo,MD,USA,14437331250
Laval Est ,PQ,CANADA,14502322252
Longueuil ,PQ,CANADA,14509990588
Dallas Fort Worth Airport ,TX,USA,14692050040
Plano ,TX,USA,14696665135
Phoenix,AZ,USA,14803361616
West Chester,PA,USA,14846530777
Little Rock,AR,USA,15017124563
Louisville ,KY,USA,15022590891
Portland,OR,USA,15033344494
New Orleans,LA,USA,15043350594
Albuquerque,NM,USA,15053592332
Moncton ,NB,USA,15068011090
Framingham,MA,USA,15082319001
Spokane ,WA,USA,15095700638
Oakland:Berkeley ,CA,USA,15102294650
Richmond ,CA,USA,15106190106
Austin ,TX,USA,15126001143
Cincinnati,OH,USA,15136205659
Roxboro,PQ,USA,15146130582
Montreal ,PQ,USA,15146670331
Ames ,IA,USA,15155985711
Nassau Zone 04,NY,USA,15163995203
Lansing ,MI,USA,15178275205
Albany,NY,USA,15188888201
Tucson ,AZ,USA,15203321160
Davis ,CA,USA,15302044580
Stafford ,VA,USA,15406023039
Visalia ,CA,USA,15594711133
Fresno ,CA,USA,15594731682
West Palm Beach ,FL,USA,15612252052
Jupiter ,FL,USA,15613540424
Boca Raton,FL,USA,15618076462
Long Beach,CA,USA,15624531199
Scranton ,PA,USA,15708000501
Braddock,VA,USA,15712815803
Fairport ,NY,USA,15855987916
Calgary ,AB,USA,15873154153
Jackson,MS,USA,16013454214
Phoenix ,AZ,USA,16026380043
Derry,NH,USA,16035525532
Vancouver ,BC,USA,16047574767
Elmira ,NY,USA,16077958358
Ithaca ,NY,USA,16078828201
Pemberton ,NJ,USA,16097262003
Twin Cities,MN,USA,16122782119
Twin Cities,MN,USA,16125020004
Ottawa-Hull,ON,USA,16134828677
Columbus ,OH,USA,16144534911
Nashville ,TN,USA,16157332835
Grand Rapids,MI,USA,16164380588
Newton ,MA,USA,16172131027
Edwardsville ,IL,USA,16186555370
La Mesa,CA,USA,16194904360
Chula Vista,CA,USA,16198634701
Pasadena,CA,USA,16262001001
Downers Grove,IL,USA,16304872474
New York City Zone 01,NY,USA,16465031247
Toronto ,ON,USA,16476941934
Palo Alto ,CA,USA,16506811284
Twin Cities,MN,USA,16513332030
Bakersfield,CA,USA,16612461183
Atlanta Northeast,GA,USA,16782870691
Atlanta Northwest,GA,USA,16784967025
Fargo ,ND,USA,17015262449
Nelson ,NV,USA,17027078020
WSNGTNZN19,VA,USA,17034599601
Manassas ,VA,USA,17038813919
Charlotte,NC,USA,17047051355
Athens ,GA,USA,17067652805
Napa,CA,USA,17075014348
Santa Rosa ,CA,USA,17075084447
Anaheim,CA,USA,17145981333
Cypress ,CA,USA,17147331088
Orange,CA,USA,17149239098
Buffalo,NY,USA,17168000201
New York City Zone 10 ,NY,USA,17183012771
Colorado Springs ,CO,USA,17192191452
Denver,CO,USA,17202588241
Denver ,CO,USA,17206230022
Freehold,NJ,USA,17322520811
New Brunswick ,NJ,USA,17328390567
Ann Arbor,MI,USA,17347942759
Fort Lauderdale,FL,USA,17542007403
Norfolk Zone 1 ,VA,USA,17578190929
NWPTNWSZN1,VA,USA,17579521886
Oceanside,CA,USA,17603312179
Palm Springs ,CA,USA,17604590617
San Marcos,CA,USA,17605712180
Muncie,IN,USA,17655870431
Reno,NV,USA,17754204700
Victoria,BC,USA,17784023913
Edmonton,AB,USA,17808007410
Arlington ,MA,USA,17816457116
Lawrence,KS,USA,17853305999
North Dade ,FL,USA,17862792110
Mayaguez ,PR,USA,17879867814
Salt Lake City ,UT,USA,18014786817
Ogden ,UT,USA,18015646125
Columbia ,SC,USA,18038327571
Cambria ,CA,USA,18052031141
Oxnard ,CA,USA,18052040465
Santa Barbara ,CA,USA,18052591158
Thousand Oaks ,CA,USA,18054092042
LUBBOCK,TX,USA,18063199677
WAILUKU,HI,USA,18082149295
Bloomington ,IN,USA,18122698873
Tampa Central,FL,USA,18133843187
Tampa West,FL,USA,18134300076
LA SALLE,IL,USA,18152505790
Rockford ,IL,USA,18159975897
Kansas City ,MO,USA,18162457850
Arlington ,TX,USA,18173010162
Glendale,CA,USA,18182964007
Canoga Park ,CA,USA,18183372381
Van Nuys,CA,USA,18184575421
Van Nuys,CA,USA,18184750700
Van Nuys,CA,USA,18184750777
VAN NUYS,CA,USA,18184750785
Van Nuys ,CA,USA,18184750791
Van Nuys,CA,USA,18185741102
Northridge,CA,USA,18188124058
Salinas,CA,USA,18315401184
Spring,TX,USA,18325855181
Houston,TX,USA,18326500002
Northbrook ,IL,USA,18477706356
Tallahassee,FL,USA,18505837780
Marlton,NJ,USA,18565522833
Boston ,MA,USA,18572657737
Poway ,CA,USA,18582084426
La Jolla ,CA,USA,18582107698
La Jolla ,CA,USA,18589262234
Lexington,KY,USA,18593174160
Hartford ,CT,USA,18609063283
Willimantic ,CT,USA,18609425444
Newark ,NJ,USA,18622279786
Greenville ,SC,USA,18643151872
Gaffney ,SC,USA,18646493252
Knoxville ,TN,USA,18653427826
TOLL-FREE,TF,TF,18779994330
Memphis ,TN,USA,19013024683
Halifax ,NS,USA,19027080230
Charlottetown ,PE,USA,19028167075
Greenville ,TX,USA,19032980402
Jacksonville,FL,USA,19044163492
Anchorage ,AK,USA,19073314596
Plainfield,NJ,USA,19089120597
Fontana ,CA,USA,19092002217
Claremont ,CA,USA,19095423365
Scotts Hill ,NC,USA,19105660612
Savannah ,GA,USA,19122007977
Kansas City ,KS,USA,19133073664
Lincoln ,CA,USA,19162094283
Sacramento,CA,USA,19162331015
New York City Zone 09,NY,USA,19175636201
Owasso ,OK,USA,19189282199
Raleigh ,NC,USA,19195781515
Raleigh ,NC,USA,19197199054
Walnut Creek,CA,USA,19253004548
Antioch ,CA,USA,19253014406
Dublin-San Ramon,CA,USA,19259991084
Dayton ,OH,USA,19375581901
Denton,TX,USA,19402390683
Sarasota,FL,USA,19418932671
Irvine ,CA,USA,19492020300
Irvine ,CA,USA,19492662598
Riverside ,CA,USA,19518241623
Fort Lauderdale,FL,USA,19542718068
Fort Lauderdale,FL,USA,19542718069
Coral Springs,FL,USA,19546561225
Aspen,CO,USA,19703151022
Greeley,CO,USA,19704752080
Portland,OR,USA,19712305949
Portland,OR,USA,19712306008
Livingston,NJ,USA,19737121264
Rotterdam,AS ,Netherlands,31108920216
PARIS,FR,France,33975185414
Malaga,SP,SPAIN,34951120529
GOTEBORG,Sweden,Sweden,46313088121
Beenleigh,Australia,Australia,61730538642
Firenze,ITALY,ITALY,390550620163
Preston,UK,UK,441772219154
London ,UK,UK,442031292631
London,UK,United Kingdom,442031292641
Frankfurt,Germany,Germany,4969365065034
Munich,Germany,Germany,4989121400790
